utt_id,wav_path,speaker_id,emotion_label
Actor_16_03-01-05-01-02-01-16,data/RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,Actor_16,angry
Actor_16_03-01-06-01-02-02-16,data/RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,Actor_16,fearful
Actor_16_03-01-06-02-01-02-16,data/RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,Actor_16,fearful
Actor_16_03-01-05-02-01-01-16,data/RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,Actor_16,angry
Actor_16_03-01-07-01-01-01-16,data/RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,Actor_16,disgust
Actor_16_03-01-04-01-01-02-16,data/RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,Actor_16,sad
Actor_16_03-01-04-02-02-02-16,data/RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,Actor_16,sad
Actor_16_03-01-07-02-02-01-16,data/RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,Actor_16,disgust
Actor_16_03-01-08-02-02-01-16,data/RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,Actor_16,surprised
Actor_16_03-01-08-01-01-01-16,data/RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,Actor_16,surprised
Actor_16_03-01-03-02-02-02-16,data/RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,Actor_16,happy
Actor_16_03-01-03-01-01-02-16,data/RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,Actor_16,happy
Actor_16_03-01-02-02-01-01-16,data/RAVDESS/Actor_16/03-01-02-02-01-01-16.wav,Actor_16,calm
Actor_16_03-01-01-01-02-02-16,data/RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,Actor_16,neutral
Actor_16_03-01-02-01-02-01-16,data/RAVDESS/Actor_16/03-01-02-01-02-01-16.wav,Actor_16,calm
Actor_16_03-01-03-02-01-01-16,data/RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,Actor_16,happy
Actor_16_03-01-03-01-02-01-16,data/RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,Actor_16,happy
Actor_16_03-01-02-02-02-02-16,data/RAVDESS/Actor_16/03-01-02-02-02-02-16.wav,Actor_16,calm
Actor_16_03-01-02-01-01-02-16,data/RAVDESS/Actor_16/03-01-02-01-01-02-16.wav,Actor_16,calm
Actor_16_03-01-01-01-01-01-16,data/RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,Actor_16,neutral
Actor_16_03-01-06-01-01-01-16,data/RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,Actor_16,fearful
Actor_16_03-01-05-01-01-02-16,data/RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,Actor_16,angry
Actor_16_03-01-05-02-02-02-16,data/RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,Actor_16,angry
Actor_16_03-01-06-02-02-01-16,data/RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,Actor_16,fearful
Actor_16_03-01-04-01-02-01-16,data/RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,Actor_16,sad
Actor_16_03-01-07-01-02-02-16,data/RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,Actor_16,disgust
Actor_16_03-01-07-02-01-02-16,data/RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,Actor_16,disgust
Actor_16_03-01-04-02-01-01-16,data/RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,Actor_16,sad
Actor_16_03-01-08-02-01-02-16,data/RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,Actor_16,surprised
Actor_16_03-01-08-01-02-02-16,data/RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,Actor_16,surprised
Actor_16_03-01-02-01-02-02-16,data/RAVDESS/Actor_16/03-01-02-01-02-02-16.wav,Actor_16,calm
Actor_16_03-01-01-01-02-01-16,data/RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,Actor_16,neutral
Actor_16_03-01-02-02-01-02-16,data/RAVDESS/Actor_16/03-01-02-02-01-02-16.wav,Actor_16,calm
Actor_16_03-01-03-01-01-01-16,data/RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,Actor_16,happy
Actor_16_03-01-03-02-02-01-16,data/RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,Actor_16,happy
Actor_16_03-01-07-02-02-02-16,data/RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,Actor_16,disgust
Actor_16_03-01-04-02-02-01-16,data/RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,Actor_16,sad
Actor_16_03-01-04-01-01-01-16,data/RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,Actor_16,sad
Actor_16_03-01-07-01-01-02-16,data/RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,Actor_16,disgust
Actor_16_03-01-05-02-01-02-16,data/RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,Actor_16,angry
Actor_16_03-01-06-02-01-01-16,data/RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,Actor_16,fearful
Actor_16_03-01-06-01-02-01-16,data/RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,Actor_16,fearful
Actor_16_03-01-05-01-02-02-16,data/RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,Actor_16,angry
Actor_16_03-01-08-01-01-02-16,data/RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,Actor_16,surprised
Actor_16_03-01-08-02-02-02-16,data/RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,Actor_16,surprised
Actor_16_03-01-04-02-01-02-16,data/RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,Actor_16,sad
Actor_16_03-01-07-02-01-01-16,data/RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,Actor_16,disgust
